* primer sequences are manufactured specifically for use with the Ion AmpliSeq Kits and contain proprietary modifications.
384Well_PlateID,384Well_Row,384Well_Col,Amplicon_ID,Ion_AmpliSeq_Fwd_Primer*,Ion_AmpliSeq_Rev_Primer*
Pool1_02,E,7,7171211696,.,.
Pool1_02,E,8,7170193714,.,.
Pool1_02,E,9,7173178223,.,.
Pool1_02,E,10,7173178394,.,.
Pool1_02,E,11,7173184227,.,.
Pool1_02,E,12,7173178443,.,.
Pool1_02,E,13,7173178469,.,.
Pool1_02,E,14,7172322288,.,.
Pool1_02,E,15,7173184303,.,.
Pool1_02,E,16,7173178345,.,.
Pool1_02,E,17,7171814195,.,.
Pool1_02,E,18,7173184208,.,.
Pool1_02,E,19,7173184294,.,.
Pool1_02,E,20,7172471929,.,.
Pool1_02,E,21,7173178212,.,.
Pool1_02,E,22,7173184176,.,.
Pool1_02,E,23,7173178198,.,.
Pool1_02,E,24,7173178404,.,.
Pool1_02,F,1,Blank,.,.
Pool1_02,F,2,Blank,.,.
Pool1_02,F,3,Blank,.,.
Pool1_02,F,4,Blank,.,.
Pool1_02,F,5,Blank,.,.
Pool1_02,F,6,Blank,.,.
Pool1_02,F,7,Blank,.,.
Pool1_02,F,8,Blank,.,.
Pool1_02,F,9,Blank,.,.
Pool1_02,F,10,Blank,.,.
Pool1_02,F,11,Blank,.,.
Pool1_02,F,12,Blank,.,.
Pool1_02,F,13,Blank,.,.
Pool1_02,F,14,Blank,.,.
Pool1_02,F,15,Blank,.,.
Pool1_02,F,16,Blank,.,.
Pool1_02,F,17,Blank,.,.
Pool1_02,F,18,Blank,.,.
Pool1_02,F,19,Blank,.,.
Pool1_02,F,20,Blank,.,.
Pool1_02,F,21,Blank,.,.
Pool1_02,F,22,Blank,.,.
Pool1_02,F,23,Blank,.,.
Pool1_02,F,24,Blank,.,.
Pool1_02,G,1,7173184184,.,.
Pool1_02,G,2,7173178228,.,.
Pool1_02,G,3,7170770462,.,.
Pool1_02,G,4,7173178268,.,.
Pool1_02,G,5,7171048664,.,.
Pool1_02,G,6,7173178184,.,.
Pool1_02,G,7,7173184206,.,.
Pool1_02,G,8,7173178473,.,.
Pool1_02,G,9,7173178440,.,.
Pool1_02,G,10,7173178346,.,.
Pool1_02,G,11,7169624959,.,.
Pool1_02,G,12,7173178185,.,.
Pool1_02,G,13,7169802004,.,.
Pool1_02,G,14,7173184250,.,.
Pool1_02,G,15,7171125929,.,.
Pool1_02,G,16,7173178193,.,.
Pool1_02,G,17,7173178389,.,.
Pool1_02,G,18,7169588078,.,.
Pool1_02,G,19,7170825021,.,.
Pool1_02,G,20,7173178409,.,.
Pool1_02,G,21,7173178316,.,.
Pool1_02,G,22,7173184233,.,.
Pool1_02,G,23,7173184185,.,.
Pool1_02,G,24,7173184265,.,.
Pool1_02,H,1,Blank,.,.
Pool1_02,H,2,Blank,.,.
Pool1_02,H,3,Blank,.,.
Pool1_02,H,4,Blank,.,.
Pool1_02,H,5,Blank,.,.
Pool1_02,H,6,Blank,.,.
Pool1_02,H,7,Blank,.,.
Pool1_02,H,8,Blank,.,.
Pool1_02,H,9,Blank,.,.
Pool1_02,H,10,Blank,.,.
Pool1_02,H,11,Blank,.,.
Pool1_02,H,12,Blank,.,.
Pool1_02,H,13,Blank,.,.
Pool1_02,H,14,Blank,.,.
Pool1_02,H,15,Blank,.,.
Pool1_02,H,16,Blank,.,.
Pool1_02,H,17,Blank,.,.
Pool1_02,H,18,Blank,.,.
Pool1_02,H,19,Blank,.,.
Pool1_02,H,20,Blank,.,.
Pool1_02,H,21,Blank,.,.
Pool1_02,H,22,Blank,.,.
Pool1_02,H,23,Blank,.,.
Pool1_02,H,24,Blank,.,.
Pool1_02,I,1,7173178187,.,.
Pool1_02,I,2,SP_155.819,.,.
Pool1_02,I,3,7173178359,.,.
Pool1_02,I,4,7173178280,.,.
Pool1_02,I,5,7171115227,.,.
Pool1_02,I,6,7173178339,.,.
Pool1_02,I,7,7173178180,.,.
Pool1_02,I,8,7173184222,.,.
Pool1_02,I,9,7173184237,.,.
Pool1_02,I,10,7173178219,.,.
Pool1_02,I,11,7173178374,.,.
Pool1_02,I,12,7173178203,.,.
Pool1_02,I,13,7173178347,.,.
Pool1_02,I,14,7173178317,.,.
Pool1_02,I,15,7173178456,.,.
Pool1_02,I,16,7171059751,.,.
Pool1_02,I,17,7173178383,.,.
Pool1_02,I,18,7173178312,.,.
Pool1_02,I,19,7173178441,.,.
Pool1_02,I,20,Blank,.,.
Pool1_02,I,21,7173178294,.,.
Pool1_02,I,22,Blank,.,.
Pool1_02,I,23,7173184285,.,.
Pool1_02,I,24,Blank,.,.
Pool1_02,J,1,Blank,.,.
Pool1_02,J,2,Blank,.,.
Pool1_02,J,3,Blank,.,.
Pool1_02,J,4,Blank,.,.
Pool1_02,J,5,Blank,.,.
Pool1_02,J,6,Blank,.,.
Pool1_02,J,7,Blank,.,.
Pool1_02,J,8,Blank,.,.
Pool1_02,J,9,Blank,.,.
Pool1_02,J,10,Blank,.,.
Pool1_02,J,11,Blank,.,.
Pool1_02,J,12,Blank,.,.
Pool1_02,J,13,Blank,.,.
Pool1_02,J,14,Blank,.,.
Pool1_02,J,15,Blank,.,.
Pool1_02,J,16,Blank,.,.
Pool1_02,J,17,Blank,.,.
Pool1_02,J,18,Blank,.,.
Pool1_02,J,19,Blank,.,.
Pool1_02,J,20,Blank,.,.
Pool1_02,J,21,Blank,.,.
Pool1_02,J,22,Blank,.,.
Pool1_02,J,23,Blank,.,.
Pool1_02,J,24,Blank,.,.
Pool1_02,K,1,7173178272,.,.
Pool1_02,K,2,Blank,.,.
Pool1_02,K,3,7173178321,.,.
Pool1_02,K,4,Blank,.,.
Pool1_02,K,5,7173178178,.,.
Pool1_02,K,6,Blank,.,.
Pool1_02,K,7,7173178460,.,.
